model_file,model_consts,model_type,states,time_constr
"brp.pm","N=32,MAX=3",DTMC,1766,0.134
"brp.pm","N=32,MAX=4",DTMC,2183,0.141
"brp.pm","N=32,MAX=5",DTMC,2600,0.156
"brp.pm","N=64,MAX=2",DTMC,2693,0.195
"brp.pm","N=64,MAX=3",DTMC,3526,0.229
"brp.pm","N=64,MAX=4",DTMC,4359,0.241
"brp.pm","N=64,MAX=5",DTMC,5192,0.251
"crowds.pm","TotalRuns=3,CrowdSize=10",DTMC,6563,0.167
"crowds.pm","TotalRuns=3,CrowdSize=15",DTMC,19228,0.172
"crowds.pm","TotalRuns=3,CrowdSize=20",DTMC,42318,0.233
"crowds.pm","TotalRuns=3,CrowdSize=5",DTMC,1198,0.136
"crowds.pm","TotalRuns=4,CrowdSize=10",DTMC,30070,0.242
"crowds.pm","TotalRuns=4,CrowdSize=15",DTMC,119800,0.343
"crowds.pm","TotalRuns=4,CrowdSize=20",DTMC,333455,0.406
"crowds.pm","TotalRuns=4,CrowdSize=5",DTMC,3515,0.2
"crowds.pm","TotalRuns=5,CrowdSize=10",DTMC,111294,0.26
"crowds.pm","TotalRuns=5,CrowdSize=15",DTMC,592060,0.409
"crowds.pm","TotalRuns=5,CrowdSize=20",DTMC,2061951,0.464
"crowds.pm","TotalRuns=5,CrowdSize=5",DTMC,8653,0.192
"crowds.pm","TotalRuns=6,CrowdSize=10",DTMC,352535,0.325
"crowds.pm","TotalRuns=6,CrowdSize=15",DTMC,2464168,0.474
"crowds.pm","TotalRuns=6,CrowdSize=20",DTMC,10633591,0.584
"crowds.pm","TotalRuns=6,CrowdSize=5",DTMC,18817,0.194
"egl.pm","N=10,L=2",DTMC,66060286,0.607
"egl.pm","N=10,L=4",DTMC,149946366,1.564
"egl.pm","N=10,L=6",DTMC,233832446,2.737
"egl.pm","N=10,L=8",DTMC,317718526,5.397
"egl.pm","N=15,L=2",DTMC,99857989630,1.175
"egl.pm","N=15,L=4",DTMC,228707008510,3.244
"egl.pm","N=15,L=6",DTMC,357556027390,5.572
"egl.pm","N=15,L=8",DTMC,486405046270,11.606
"egl.pm","N=20,L=2",DTMC,135239930216446,1.398
"egl.pm","N=20,L=4",DTMC,311161790660606,5.497
"egl.pm","N=20,L=6",DTMC,487083651104766,12.366
"egl.pm","N=20,L=8",DTMC,663005511548926,29.13
"egl.pm","N=5,L=2",DTMC,33790,0.359
"egl.pm","N=5,L=4",DTMC,74750,0.574
"egl.pm","N=5,L=6",DTMC,115710,0.807
"egl.pm","N=5,L=8",DTMC,156670,1.388
"herman11.pm","",DTMC,2048,0.041
"herman13.pm","",DTMC,8192,0.031
"herman15.pm","",DTMC,32768,0.031
"herman3.pm","",DTMC,8,0.034
"herman5.pm","",DTMC,32,0.048
"herman7.pm","",DTMC,128,0.045
"herman9.pm","",DTMC,512,0.03
"leader_sync3_2.pm","",DTMC,26,0.061
"leader_sync3_3.pm","",DTMC,69,0.058
"leader_sync3_4.pm","",DTMC,147,0.062
"leader_sync4_2.pm","",DTMC,61,0.044
"leader_sync4_3.pm","",DTMC,274,0.074
"leader_sync4_4.pm","",DTMC,812,0.103
"leader_sync5_2.pm","",DTMC,141,0.047
"leader_sync5_3.pm","",DTMC,1050,0.126
"leader_sync5_4.pm","",DTMC,4244,0.278
"nand.pm","N=20,K=1",DTMC,78332,0.235
"nand.pm","N=20,K=2",DTMC,154942,0.405
"nand.pm","N=20,K=3",DTMC,231552,0.581
"nand.pm","N=20,K=4",DTMC,308162,0.744
"nand.pm","N=40,K=1",DTMC,1004862,1.182
"nand.pm","N=40,K=2",DTMC,2003082,2.559
"nand.pm","N=40,K=3",DTMC,3001302,3.546
"nand.pm","N=40,K=4",DTMC,3999522,4.894
"nand.pm","N=60,K=1",DTMC,4717592,3.92
"nand.pm","N=60,K=2",DTMC,9420422,9.312
"coin2.nm","K=16",MDP,2064,0.083
"coin2.nm","K=2",MDP,272,0.054
"coin2.nm","K=4",MDP,528,0.052
"coin2.nm","K=8",MDP,1040,0.069
"coin4.nm","K=2",MDP,22656,0.078
"coin4.nm","K=4",MDP,43136,0.11
"csma2_2.nm","",MDP,1038,0.097
"csma2_4.nm","",MDP,7958,0.185
"csma2_6.nm","",MDP,66718,0.427
"csma3_2.nm","",MDP,36850,0.436
"csma3_4.nm","",MDP,1460287,2.429
"csma3_6.nm","",MDP,84856004,18.095
"csma4_2.nm","",MDP,761962,2.407
"csma4_4.nm","",MDP,133301572,29.609
"csma4_6.nm","",MDP,39051159469,2049.131
"firewire.nm","delay=3",MDP,4093,0.7
"firewire.nm","delay=36",MDP,212268,4.367
"firewire_abst.nm","delay=3",MDP,611,0.121
"firewire_abst.nm","delay=36",MDP,776,0.135
"firewire_dl.nm","deadline=200,delay=3",MDP,14824,0.484
"firewire_dl.nm","deadline=400,delay=3",MDP,69683,1.253
"firewire_dl.nm","deadline=600,delay=3",MDP,168411,2.723
"firewire_dl.nm","deadline=800,delay=3",MDP,290017,5.147
"firewire_dl.nm","deadline=200,delay=36",MDP,68056,0.554
"firewire_dl.nm","deadline=400,delay=36",MDP,220565,1.465
"firewire_dl.nm","deadline=600,delay=36",MDP,375765,2.62
"firewire_dl.nm","deadline=800,delay=36",MDP,530965,4.325
"firewire_impl_dl.nm","deadline=200,delay=3",MDP,80980,2.283
"firewire_impl_dl.nm","deadline=400,delay=3",MDP,434364,9.417
"firewire_impl_dl.nm","deadline=600,delay=3",MDP,1093658,21.843
"firewire_impl_dl.nm","deadline=800,delay=3",MDP,1915291,36.231
"firewire_impl_dl.nm","deadline=200,delay=36",MDP,6719773,61.014
"firewire_impl_dl.nm","deadline=400,delay=36",MDP,44366235,388.817
"firewire_impl_dl.nm","deadline=600,delay=36",MDP,86813479,741.726
"firewire_impl_dl.nm","deadline=800,delay=36",MDP,129267079,1106.025
"wlan0.nm","COL=0",MDP,2954,0.117
"wlan1.nm","COL=0",MDP,8625,0.17
"wlan2.nm","COL=0",MDP,28480,0.271
"wlan3.nm","COL=0",MDP,96302,0.311
"wlan4.nm","COL=0",MDP,345000,0.42
"wlan5.nm","COL=0",MDP,1295218,0.632
"wlan6.nm","COL=0",MDP,5007548,0.884
"wlan_dl0.nm","deadline=80",MDP,189703,1.556
"wlan_dl1.nm","deadline=80",MDP,450627,1.619
"wlan_dl2.nm","deadline=80",MDP,1148419,2.527
"wlan_dl3.nm","deadline=80",MDP,3041883,4.205
"wlan_dl4.nm","deadline=80",MDP,6959410,5.134
"wlan_dl5.nm","deadline=80",MDP,9633089,5.774
"wlan_dl6.nm","deadline=80",MDP,10131465,5.788
"zeroconf.nm","reset=false,N=1000,K=2",MDP,89586,4.155
"zeroconf.nm","reset=true,N=1000,K=2",MDP,670,0.522
"zeroconf.nm","reset=false,N=1000,K=4",MDP,307768,11.981
"zeroconf.nm","reset=true,N=1000,K=4",MDP,1088,0.615
"zeroconf.nm","reset=false,N=1000,K=6",MDP,798471,32.409
"zeroconf.nm","reset=true,N=1000,K=6",MDP,1506,0.61
"zeroconf.nm","reset=false,N=1000,K=8",MDP,1870338,73.111
"zeroconf.nm","reset=true,N=1000,K=8",MDP,1924,0.649
"zeroconf.nm","reset=false,N=20,K=2",MDP,89586,4.198
"zeroconf.nm","reset=true,N=20,K=2",MDP,670,0.597
"zeroconf.nm","reset=false,N=20,K=4",MDP,307768,11.725
"zeroconf.nm","reset=true,N=20,K=4",MDP,1088,0.571
"zeroconf.nm","reset=false,N=20,K=6",MDP,798471,31.352
"zeroconf.nm","reset=true,N=20,K=6",MDP,1506,0.645
"zeroconf.nm","reset=false,N=20,K=8",MDP,1870338,73.434
"zeroconf.nm","reset=true,N=20,K=8",MDP,1924,0.638
"zeroconf_dl.nm","reset=false,deadline=10,N=1000,K=1",MDP,12240,1.208
"zeroconf_dl.nm","reset=false,deadline=20,N=1000,K=1",MDP,53620,2.984
"zeroconf_dl.nm","reset=false,deadline=30,N=1000,K=1",MDP,132806,5.578
"zeroconf_dl.nm","reset=false,deadline=40,N=1000,K=1",MDP,251740,9.017
"zeroconf_dl.nm","reset=false,deadline=50,N=1000,K=1",MDP,411031,14.235
"zeroconf_dl.nm","reset=true,deadline=10,N=1000,K=1",MDP,3835,0.616
"zeroconf_dl.nm","reset=true,deadline=20,N=1000,K=1",MDP,7670,0.692
"zeroconf_dl.nm","reset=true,deadline=30,N=1000,K=1",MDP,11605,0.907
"zeroconf_dl.nm","reset=true,deadline=40,N=1000,K=1",MDP,15640,0.921
"zeroconf_dl.nm","reset=true,deadline=50,N=1000,K=1",MDP,19775,1.167
"csma.nm","K=2,COL=4",PTA,,
"csma.nm","K=2,COL=8",PTA,,
"csma.nm","K=4,COL=4",PTA,,
"csma.nm","K=4,COL=8",PTA,,
"csma_abst.nm","K=1",PTA,,
"firewire.nm","delay=360",PTA,,
"firewire_abst.nm","delay=30",PTA,,
"firewire_abst.nm","delay=360",PTA,,
"repudiation_honest.nm","",PTA,,
"repudiation_malicious.nm","",PTA,,
"zeroconf.nm","",PTA,,
"avoid.prism","X_MAX=10,Y_MAX=10",SMG,106524,0.962
"avoid.prism","X_MAX=15,Y_MAX=15",SMG,480464,3.679
"dice.prism","N=10",SMG,5755,0.083
"dice.prism","N=25",SMG,34645,0.266
"dice.prism","N=50",SMG,136795,0.653
"hallway_human.prism","X_MAX=10,Y_MAX=10",SMG,400000,3.408
"hallway_human.prism","X_MAX=5,Y_MAX=5",SMG,25000,0.391
"hallway_human.prism","X_MAX=8,Y_MAX=8",SMG,163840,1.514
"investors2.prism","vmax=10",SMG,172240,1.119
"investors2.prism","vmax=20",SMG,568790,3.605
